"x","y","type"
23.7291703529288,10.121945107896,"A"
20.8759268288807,11.2181467671159,"A"
13.6441122596019,15.0304868150424,"A"
20.5048979366926,7.96018597287659,"A"
18.2018757438147,10.6740238971035,"A"
22.5338541895181,6.18964584068098,"A"
10.9394609798402,16.0913343803479,"A"
17.0808933640302,20.4746011748145,"A"
16.3232373176758,17.6088374207545,"A"
23.8736136063054,15.3560787520286,"A"
18.5239584238503,16.2476601092655,"A"
10.3922000082114,7.81865460290711,"A"
16.3107071225769,8.91910468063156,"A"
20.0744949090725,11.669596974496,"A"
18.6182527646769,13.2637562489692,"A"
17.9137807908077,17.9786693396218,"A"
17.6190424820467,13.8370048851262,"A"
21.9558381704231,18.4230009967819,"A"
18.4816967639201,14.9508182891503,"A"
18.2387888895903,17.8186801654562,"A"
18.5672632088994,12.4011784895195,"A"
19.2619293212847,15.3349093488485,"A"
18.6038808121614,22.9673491109251,"A"
12.4340604980274,14.1060716080721,"A"
20.3319664014388,15.1252517004844,"A"
17.1602357250426,17.7920661610583,"A"
16.2659137951189,15.8713199506167,"A"
18.2151497697334,16.9413549865577,"A"
17.45779252062,23.0189312093474,"A"
18.592260877846,17.6592080713203,"A"
21.4846743433581,19.0410844846071,"A"
15.1372957925859,18.6268592155234,"A"
15.8877319838809,20.7933733912352,"A"
20.1561662899411,19.7362241927769,"A"
16.7302092040991,21.2995011061738,"A"
21.3845159459013,21.4569863150754,"A"
11.2574662362949,21.8307885075655,"A"
16.0856575970236,26.2041895509929,"A"
17.8779175910982,20.0915992706567,"A"
17.7621379622006,23.4275999452939,"A"
20.6645373943182,24.7920185258411,"A"
16.3091690610677,21.3748911145364,"A"
18.6609611175291,22.312358708587,"A"
14.6724835326052,24.1192905385854,"A"
19.3213748082328,31.2412150317785,"A"
13.6239178858113,19.1078684794045,"A"
15.2333600149608,18.3797226678774,"A"
19.7246599204711,28.3489526960506,"A"
14.9566730629008,23.7642290532073,"A"
15.2277270848911,27.0524849126121,"A"
15.9487055878575,24.1487910318792,"A"
7.77590191312623,27.0097305885432,"A"
14.8575663017311,22.711425236138,"A"
19.1845335601939,27.0884869141325,"A"
17.4931981708021,31.4157234405826,"A"
12.5539452136655,28.9978775189471,"A"
11.3613892416013,27.2836599550865,"A"
15.7891251949395,26.2304319973636,"A"
19.7155394220895,29.7001594944602,"A"
16.2947253988138,25.4679378765419,"A"
17.1881785070482,28.2188574065365,"A"
18.1320353556855,27.1832636800244,"A"
17.8594983154636,28.4691023621744,"A"
16.2206477626775,31.7529348642064,"A"
17.2677035479938,27.4874801580781,"A"
17.9090873318478,32.5973259765535,"A"
9.97537598685945,30.0790131982865,"A"
11.9515838925019,31.5179402313448,"A"
16.1443948627611,25.3949795760335,"A"
15.0844833452295,30.9972105447204,"A"
12.2876848726562,36.7840719333077,"A"
15.3079826664217,26.4669888256119,"A"
10.2533543818258,29.982103470715,"A"
14.4495077519343,34.6549742146205,"A"
10.5299683509402,32.7214998280536,"A"
10.9896903199595,35.4623133136793,"A"
6.52586718720804,32.0734498288548,"A"
6.24824051063037,38.5523643402678,"A"
9.37193816076725,34.8767962696156,"A"
8.43540753351849,33.8802429943661,"A"
7.77046843849099,35.8179516398457,"A"
10.1931275155045,31.0180611527826,"A"
5.34590358594765,37.3062861348605,"A"
9.43844858135309,33.9943558853123,"A"
6.27748110746892,36.8414267427504,"A"
8.98368574661997,34.0529310632566,"A"
11.7090986127369,31.7275554022169,"A"
5.52345565215651,30.9154163965671,"A"
1.10525540104106,36.8235942190015,"A"
3.77470311061299,35.6320702095559,"A"
7.9265111147874,36.6065309704408,"A"
11.7875544392092,39.7129028292732,"A"
7.30882627401245,36.5769678054344,"A"
5.26000144242252,43.1031266832352,"A"
2.96558115713895,36.5733682635936,"A"
1.3114545422615,35.8448850504509,"A"
3.01714968566261,35.103483778724,"A"
7.80224519522452,39.7495179496575,"A"
3.7049928050327,39.210474664707,"A"
0.756458483267881,38.6408387321977,"A"
2.81001043118636,39.7403002835954,"A"
3.37647704882595,40.0927519335178,"A"
1.11662845452818,37.0875593961669,"A"
-1.45677971169812,41.4177274580455,"A"
5.56409990638882,41.1838067325863,"A"
-0.201042537543157,45.5557991128539,"A"
5.75781119793571,43.527824030847,"A"
-3.41560896667578,42.1439359008694,"A"
-9.69228660874637,41.9580183341852,"A"
0.0415351516096805,42.539829806344,"A"
2.77473474068555,46.9197533374034,"A"
-1.92040704887468,43.1295823051019,"A"
-4.45935423573208,42.7767285385,"A"
-0.970056971712787,41.3953269149604,"A"
-2.42390518957056,42.114515833748,"A"
-2.50441587677486,38.5944106001013,"A"
-0.739869707859957,38.9053123890912,"A"
-8.01403068493123,44.7119251556494,"A"
-4.94147795572635,45.2685013382479,"A"
-7.99150354611513,48.112985941093,"A"
-9.37871729553135,42.74438401364,"A"
-6.45666964596454,39.1320962056109,"A"
-4.21165372810469,42.9930560256478,"A"
-5.41748725556174,42.1039419494582,"A"
-7.70532162740991,43.33936973543,"A"
-10.0035217252656,42.9501300300866,"A"
-6.83292687614488,47.6024750679955,"A"
-6.24517568073813,46.3948922128721,"A"
-5.42050305645694,52.1071590228437,"A"
-8.20099258771849,48.2370827843382,"A"
-13.4515784215105,43.3626067795371,"A"
-12.7552852447446,49.0271600491759,"A"
-14.0508848204225,43.5972681956211,"A"
-17.5620535996028,44.8594073564784,"A"
-14.3857991384712,45.5535286942068,"A"
-15.7780126083864,46.3990482641179,"A"
-19.5322635761542,50.8577325671462,"A"
-14.6080240599805,37.7429122307007,"A"
-13.572342584401,40.3891519763755,"A"
-14.9956662165916,45.6669562260113,"A"
-13.106406906832,42.8660394486312,"A"
-19.0433981251798,39.9819443314651,"A"
-18.311994931325,46.4764238752921,"A"
-17.8040404421764,47.8909420489457,"A"
-18.2034013632697,42.6315033345508,"A"
-17.2572815578095,42.1136442582785,"A"
-16.3198417617844,44.0654686679275,"A"
